"Mã khách hàng","Tên khách hàng","Ngày xuất hóa đơn","Ngày chốt chỉ số","Ngày thanh toán","Kỳ","Doanh thu","Số tiền sau thuế","Sản lượng","Sản lượng phản kháng","Đính kèm","Địa chỉ","Địa chỉ: Địa chỉ KCN"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","31/05/2025","31/05/2025","05/06/2025","1","96.312.055 ₫","104.017.019 ₫","45.592","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","31/05/2025","31/05/2025","04/06/2025","1","206.460.379 ₫","206.460.379 ₫","94.414","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","31/05/2025","31/05/2025","06/06/2025","1","24.073.229 ₫","25.999.087 ₫","7.075","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/05/2025","31/05/2025","05/06/2025","3","554.517 ₫","554.517 ₫","0","10.534","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","20/05/2025","20/05/2025","26/05/2025","2","145.608.058 ₫","157.256.703 ₫","65.779","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","20/05/2025","20/05/2025","23/05/2025","2","138.406.230 ₫","149.478.728 ₫","71.730","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/05/2025","20/05/2025","27/05/2025","2","180.028.592 ₫","180.028.592 ₫","83.444","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","20/05/2025","20/05/2025","20/05/2025","2","97.309.952 ₫","105.094.748 ₫","42.572","0","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","20/05/2025","20/05/2025","26/05/2025","2","204.856.500 ₫","204.856.500 ₫","92.406","0","1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/05/2025","20/05/2025","30/05/2025","2","530.405 ₫","530.405 ₫","0","10.936","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","15/05/2025","15/05/2025","20/05/2025","1","179.432.128 ₫","179.432.128 ₫","73.777",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","15/05/2025","15/05/2025","17/05/2025","1","75.118.375 ₫","75.118.375 ₫","35.081",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/05/2025","10/05/2025","13/05/2025","1","121.167.601 ₫","130.861.009 ₫","56.231",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/05/2025","10/05/2025","15/05/2025","1","143.181.569 ₫","143.181.569 ₫","67.701",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/05/2025","10/05/2025","15/05/2025","1","70.611.480 ₫","76.260.398 ₫","38.640",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/05/2025","10/05/2025","13/05/2025","1","58.295.712 ₫","62.959.369 ₫","26.572",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/05/2025","10/05/2025","15/05/2025","1","168.419.058 ₫","168.419.058 ₫","79.668",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/05/2025","10/05/2025","27/05/2025","1","809.580 ₫","809.580 ₫","0","8.965","1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","30/04/2025","30/04/2025","06/05/2025","1","23.737.916 ₫","23.737.916 ₫","11.184",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-006","CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH JP VIỆT NHẬT","30/04/2025","30/04/2025","07/05/2025","1","620.923 ₫","670.597 ₫","273",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","30/04/2025","30/04/2025","05/05/2025","1","12.499.764 ₫","13.499.745 ₫","5.746",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","30/04/2025","30/04/2025","05/05/2025","1","11.540.050 ₫","12.463.254 ₫","5.360",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","30/04/2025","30/04/2025","06/05/2025","1","58.798.339 ₫","63.502.206 ₫","27.078",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-002A","CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1","30/04/2025","30/04/2025","08/05/2025","1","50.844.754 ₫","54.912.334 ₫","23.881",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","30/04/2025","30/04/2025","06/05/2025","1","5.693.360 ₫","6.148.829 ₫","2.924",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","30/04/2025","30/04/2025","06/05/2025","1","81.746.980 ₫","88.286.738 ₫","36.461",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNTH-013","CÔNG TY TNHH FANTASY TECH","30/04/2025","30/04/2025","05/05/2025","1","31.775.317 ₫","31.775.317 ₫","14.168",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","30/04/2025","30/04/2025","06/05/2025","3","169.005.780 ₫","169.005.780 ₫","79.338",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","30/04/2025","30/04/2025","06/05/2025","1","181.715.894 ₫","181.715.894 ₫","77.746",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","30/04/2025","30/04/2025","06/05/2025","1","23.599.494 ₫","25.487.454 ₫","10.818",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","30/04/2025","30/04/2025","05/05/2025","1","169.226.653 ₫","169.226.653 ₫","80.636",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","30/04/2025","30/04/2025","06/05/2025","1","5.777.740 ₫","6.239.959 ₫","2.587",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","30/04/2025","30/04/2025","06/05/2025","1","26.684.412 ₫","28.819.165 ₫","13.361",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-005"," CÔNG TY CỔ PHẦN FTA E&C VIỆT NAM","30/04/2025","30/04/2025","05/05/2025","1","7.643.221 ₫","8.254.679 ₫","3.541",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","30/04/2025","30/04/2025","02/05/2025","3","137.006.730 ₫","147.967.268 ₫","64.106",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","30/04/2025","30/04/2025","07/05/2025","3","154.318.466 ₫","154.318.466 ₫","73.703",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","30/04/2025","30/04/2025","05/05/2025","3","105.295.740 ₫","113.719.399 ₫","56.430",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","30/04/2025","30/04/2025","05/05/2025","3","84.707.476 ₫","91.484.074 ₫","39.164",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-011","CÔNG TY TNHH KYUNG BO POLYMER VINA","30/04/2025","30/04/2025","08/05/2025","1","597.322 ₫","645.108 ₫","297",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY TNHH SML TRIMS & PACKAGING VIỆT NAM","30/04/2025","30/04/2025","06/05/2025","1","41.659.378 ₫","44.992.128 ₫","19.045",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","30/04/2025","30/04/2025","06/05/2025","1","12.116.808 ₫","13.086.153 ₫","5.873",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","30/04/2025","30/04/2025","06/05/2025","1","118.265.454 ₫","118.265.454 ₫","56.690",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","30/04/2025","30/04/2025","07/05/2025","1","18.893.738 ₫","20.405.237 ₫","5.716",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","21/04/2025","21/04/2025","27/04/2025","2","150.563.270 ₫","150.563.270 ₫","71.832",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","21/04/2025","20/04/2025","25/04/2025","2","87.479.610 ₫","94.477.979 ₫","46.530",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","21/04/2025","21/04/2025","26/04/2025","2","109.817.774 ₫","118.603.196 ₫","51.747",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","21/04/2025","21/04/2025","22/04/2025","2","89.531.460 ₫","96.693.977 ₫","41.440",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","21/04/2025","20/04/2025","25/04/2025","2","145.810.644 ₫","145.810.644 ₫","68.982",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-010A","CÔNG TY TNHH XÂY DỰNG TRUNG QUỐC SAUSUM (VIỆT NAM)","14/04/2025","14/04/2025","25/04/2025","1","22.527.325 ₫","24.329.511 ₫","9.970",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/04/2025","10/04/2025","17/04/2025","1","123.867.507 ₫","123.867.507 ₫","59.058",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/04/2025","10/04/2025","14/04/2025","1","71.774.521 ₫","77.516.483 ₫","32.502",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/04/2025","10/04/2025","15/04/2025","1","70.737.870 ₫","76.396.900 ₫","37.470",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/04/2025","10/04/2025","16/04/2025","1","80.635.460 ₫","87.086.297 ₫","37.496",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/04/2025","10/04/2025","14/04/2025","1","119.894.958 ₫","119.894.958 ₫","57.030",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","31/03/2025","31/03/2025","04/04/2025","3","76.686.674 ₫","82.821.608 ₫","35.667",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","31/03/2025","31/03/2025","09/04/2025","3","150.035.269 ₫","150.035.269 ₫","71.298",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","31/03/2025","31/03/2025","04/04/2025","3","82.744.830 ₫","89.364.416 ₫","44.400",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","31/03/2025","31/03/2025","04/04/2025","3","94.322.804 ₫","101.868.628 ₫","43.600",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-007","CÔNG TY THNN SML TRIMS & PACKAGING VIỆT NAM","31/03/2025","31/03/2025","04/04/2025","1","16.633.260 ₫","17.963.921 ₫","7.502",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-008","CÔNG TY TNHH NHỰA VINSON","31/03/2025","31/03/2025","09/04/2025","1","843.475 ₫","910.953 ₫","380",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-006","CÔNG TY TNHH BEST PACIFIC VIỆT NAM – CHI NHÁNH HƯNG YÊN","31/03/2025","31/03/2025","04/04/2025","1","109.732.081 ₫","109.732.081 ₫","52.987",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","31/03/2025","31/03/2025","03/04/2025","3","163.906.164 ₫","163.906.164 ₫","78.678",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-005","CÔNG TY TNHH CÔNG NGHIỆP TITAN (HƯNG YÊN)","31/03/2025","31/03/2025","09/04/2025","1","28.042.776 ₫","30.286.198 ₫","8.776",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","31/03/2025","31/03/2025","03/04/2025","1","6.067.522 ₫","6.552.924 ₫","3.106",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCN03-004","CÔNG TY CỔ PHẦN NHỰA SENDAI VIỆT NAM","31/03/2025","31/03/2025","03/04/2025","1","10.056.570 ₫","10.861.096 ₫","4.634",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","31/03/2025","31/03/2025","01/04/2025","1","67.901.386 ₫","73.333.497 ₫","30.187",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","31/03/2025","31/03/2025","02/04/2025","1","9.783.241 ₫","10.565.900 ₫","4.557",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCN03-001","CÔNG TY CỔ PHẦN QUẢN LÝ KHU CÔNG NGHIỆP ECOLAND","31/03/2025","31/03/2025","02/04/2025","1","46.467.957 ₫","50.185.394 ₫","21.523",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","31/03/2025","31/03/2025","03/04/2025","1","42.830.680 ₫","42.830.680 ₫","19.319",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-002A","CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1","31/03/2025","31/03/2025","09/04/2025","1","49.143.847 ₫","53.075.355 ₫","23.425",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","31/03/2025","31/03/2025","09/04/2025","1","26.181.972 ₫","28.276.530 ₫","11.922",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-008"," CÔNG TY TNHH HUM&C VINA","31/03/2025","31/03/2025","04/04/2025","1","152.656.478 ₫","152.656.478 ₫","73.782",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-010A","CÔNG TY TNHH XÂY DỰNG TRUNG QUỐC SAUSUM (VIỆT NAM)","31/03/2025","31/03/2025","08/04/2025","1","41.050.294 ₫","44.334.318 ₫","18.464",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","31/03/2025","31/03/2025","08/04/2025","1","7.010.462 ₫","7.571.299 ₫","3.103",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-007","CÔNG TY TNHH SINHER TECHNOLOGY VIỆT NAM","31/03/2025","31/03/2025","04/04/2025","1","15.445.896 ₫","15.445.896 ₫","7.472",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-005"," CÔNG TY CỔ PHẦN FTA E&C VIỆT NAM","31/03/2025","31/03/2025","04/04/2025","1","7.739.516 ₫","8.358.677 ₫","3.458",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-001","CÔNG TY ĐẦU TƯ HẠ TẦNG VÀ ĐÔ THỊ VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA - CTCP","31/03/2025","31/03/2025","04/04/2025","1","23.319.157 ₫","25.184.690 ₫","11.425",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","20/03/2025","20/03/2025","24/03/2025","2","96.413.146 ₫","104.126.198 ₫","46.093",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","20/03/2025","20/03/2025","21/03/2025","2","112.222.740 ₫","112.222.740 ₫","52.548",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","20/03/2025","20/03/2025","24/03/2025","2","129.591.284 ₫","129.591.284 ₫","60.940",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","20/03/2025","20/03/2025","24/03/2025","2","77.712.240 ₫","83.929.219 ₫","41.160",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","20/03/2025","20/03/2025","25/04/2025","2","80.471.980 ₫","86.909.738 ₫","36.776",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-003","CÔNG TY TNHH ĐIỆN KHÍ JILI VIỆT NAM","10/03/2025","10/03/2025","13/03/2025","1","82.561.544 ₫","89.166.468 ₫","39.815",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-001","CÔNG TY CỔ PHẦN CƠ KHÍ VNC","10/03/2025","10/03/2025","15/03/2025","1","83.410.680 ₫","90.083.534 ₫","45.660",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-002A","CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM)","10/03/2025","10/03/2025","19/03/2025","1","103.218.978 ₫","103.218.978 ₫","48.107",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNYM-004","CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ CÔNG NGHIỆP MINH QUANG IDS","10/03/2025","10/03/2025","17/03/2025","1","75.661.332 ₫","81.714.239 ₫","34.452",,"1","KCNYM","KCN Yên Mỹ, xã Yên Mỹ, tỉnh Hưng Yên"
"KCNTH-003","CÔNG TY CỔ PHẦN CƠ ĐIỆN HỢP LỰC","10/03/2025","10/03/2025","09/03/2025","1","1.998.680 ₫","2.158.574 ₫","923",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","10/03/2025","10/03/2025","14/03/2025","1","108.518.556 ₫","108.518.556 ₫","52.668",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-002","CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM","28/02/2025","28/02/2025","05/03/2025","3","83.836.002 ₫","83.836.002 ₫","40.002",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCN03-003A","CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM","28/02/2025","28/02/2025","04/03/2025","1","5.163.189 ₫","5.576.244 ₫","2.449",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNPĐ-001","CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA - CHI NHÁNH TỔNG CÔNG TY VIGLACERA","28/02/2025","28/02/2025","10/03/2025","1","6.070.450 ₫","6.556.086 ₫","3.086",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCNPĐ-002","CÔNG TY TNHH MAY MẶC AMP VIỆT NAM - PHONG ĐIỀN","28/02/2025","28/02/2025","03/03/2025","1","48.613.873 ₫","52.502.983 ₫","22.097",,"1","KCNPĐ","KCN Phong Điền, xã Phong Điền, Thành phố Huế"
"KCN03-002A","CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 1","28/02/2025","28/02/2025","06/03/2025","1","24.782.182 ₫","26.764.757 ₫","11.936",,"1","KCN03","KCN số 3, xã Ân Thi, tỉnh Hưng Yên"
"KCNTH-011","CÔNG TY TNHH XULI CARGO CONTROL (VIET NAM)","28/02/2025","28/02/2025","05/03/2025","1","22.063.534 ₫","22.063.534 ₫","10.480",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-003A","CÔNG TY TNHH CÔNG NGHIỆP BE BRIGHT","28/02/2025","28/02/2025","07/03/2025","1","14.722.662 ₫","15.900.475 ₫","6.660",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-010A","CÔNG TY TNHH XÂY DỰNG TRUNG QUỐC SAUSUM (VIỆT NAM)","28/02/2025","28/02/2025","04/03/2025","1","23.704.542 ₫","25.600.905 ₫","10.719",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
"KCNTH-009A","CHI NHÁNH CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HỢP NHẤT VIỆT NAM","28/02/2025","28/02/2025","11/03/2025","1","4.061.702 ₫","4.386.638 ₫","1.805",,"1","KCNTH","KCN Tiền Hải, xã Tiền Hải, tỉnh Hưng Yên"
